Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
OXY.N,Occidental Petroleum Corp,71.68559,25.0,28.46314,28.96667,43854000000.0,0.34149,46343492074.44,48.3685,21330000000.0,43854000000.0
GAZP.MM,Gazprom PAO,66.3582,,17.46587,,20810440000000.0,0.21686,3633884230150.0,28.04718,13300009000000.0,20810440000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,49.31651,,7.74798,,4611581000000.0,0.12485,2523088368065.42,30.20708,2002760000000.0,4611581000000.0
MGMC.OM,Muscat Gases Company SAOG,29.79755,,29.10878,,8438217.0,-0.29369,6300000.0,2.937,6799827.0,8438217.0
IMO.TO,Imperial Oil Ltd,82.55741,24.7,24.69899,26.3,41456000000.0,0.17118,27163543222.71,21.15235,24489000000.0,41456000000.0
SU.TO,Suncor Energy Inc,85.47093,33.91531,33.91531,30.5,89579000000.0,0.3438,60813845814.87,39.42734,44005000000.0,89579000000.0
ENI.MI,Eni SpA,50.94236,58.46486,59.06797,58.7,118373000000.0,0.16598,49962779916.84,50.6432,51016000000.0,118373000000.0
600028.SS,China Petroleum & Chemical Corp,47.39818,20.11204,20.11204,20.46667,1592308000000.0,-0.03575,607777067124.844,18.89854,718355000000.0,1592308000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,71.04666,,84.97336,,28841223432.56,3.92553,5138072400.10048,459.42678,3927579837.98,28841223432.56
PETR4.SA,Petroleo Brasileiro SA Petrobras,70.87137,39.01224,39.67973,,860473000000.0,0.94809,316092665638.64,115.28269,277225000000.0,860473000000.0
OMVV.VI,OMV AG,40.89446,39.0,39.56944,39.05,36961000000.0,0.12925,12518181807.75,39.37557,9919000000.0,36961000000.0
REP.MC,Repsol SA,41.84244,41.58416,41.58416,38.75714,60778000000.0,0.26994,21948996354.56,48.79019,30628000000.0,60778000000.0
LKOH.MM,NK Lukoil PAO,66.79883,,19.65243,,5732382000000.0,0.00398,3747750000000.0,13.13474,4065560000000.0,5732382000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,49.14282,38.12545,38.12088,34.43,4994937570000.0,0.32242,2009699603158.5,43.71973,2155049860000.0,4994937570000.0
YPFD.BA,YPF SA,70.32955,,57.17297,,994016000000.0,0.7675,197476002613.45,92.47179,359200000000.0,994016000000.0
SNGS.MM,Surgutneftegaz PAO,28.66357,,18.14755,,5135791000000.0,-0.20005,1263734958138.22,4.88148,4426056000000.0,5135791000000.0
SIBN.MM,Gazprom Neft' PAO,67.20019,,16.48102,,3520926000000.0,0.27739,1643808584841.3,40.2113,1840176000000.0,3520926000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,48.90863,,23.44696,,25474405000.0,1.02292,6913045975.0,132.39672,9435239000.0,25474405000.0
600256.SS,Guanghui Energy Co Ltd,80.91733,28.95421,28.95421,,48339021591.74,1.22093,25331508295.2,134.02583,15201806697.44,48339021591.74
