Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,15.6591731371194,71.00177,,52.62719,,14125000000.0,1.23815,6623953750.0,129.48344,3523000000.0,14125000000.0,,75000000.0,8761000000.0,1999.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,4.64227871501944,71.90813,,510.43151,,1773175000000.0,0.4378,,46.13518,971926000000.0,1773175000000.0,,2747000000.0,400210000000.0,1999.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,9.788677056719,57.34698,,-1.23525,,742883000000.0,0.43373,516600000000.0,50.47165,363716000000.0,742883000000.0,,,749400000000.0,1999.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,,,,,,,,,,,,,,,1999.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,12.4828777321184,69.7174,,37.82178,,10828000000.0,0.11971,13375732223.0,31.24567,4327000000.0,10828000000.0,,28000000.0,12853000000.0,1999.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,7.39024390243902,87.48068,,40.19293,,5176000000.0,0.63283,6675008152.0,63.51992,2108000000.0,5176000000.0,,40000000.0,2387000000.0,1999.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,14.9278368124351,49.94697,,40.66521,,46197000000.0,0.3229,43555580815.279,48.36194,18398000000.0,46197000000.0,,,46370000000.0,1999.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,,,,,,,,,,,,,,,1999.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,,,,,,,,,,,,,,,1999.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,18.7886614282764,40.64808,,21.32481,,56625362000.0,0.72604,46153875114.74,105.8058,17564122000.0,56625362000.0,,825286000.0,29592301000.0,1999.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,9.45559665479948,52.72273,,30.30822,,5277644000.0,0.53657,2605500000.0,66.95885,1691463000.0,5277642000.0,,,5179159000.0,1999.0
REP.MC,Repsol SA,REP,Spain,BBB+,13.4822598333127,74.17122,,31.9564,,42050000000.0,1.81127,27347760000.0,192.98416,12526000000.0,42050000000.0,,,26142000000.0,1999.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,20.6118045010809,65.0164,,20.05835,,342582200000.0,0.24123,263000765474.2,33.04221,193800200000.0,342582200000.0,,1515717203.0,189638585136.0,1999.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,17.7715908525338,59.92981,,38.80139,,391221000000.0,0.1395,193427946014.8,26.4653,268102000000.0,391221000000.0,,655000000.0,200935000000.0,1999.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,14.7270459560587,71.96935,,43.60731,,12918000000.0,0.38709,12830221142.0,45.83726,7375000000.0,12918000000.0,,175000000.0,6598000000.0,1999.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,38.0695805696499,34.84436,,27.30844,,163700800000.0,-0.30826,244139671976.251,1.09671,149540800000.0,163700800000.0,,,92890600000.0,1999.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,6.63361843367074,88.36559,,3.63217,,117270684800.0,0.0522,48716853790.725,5.63917,83569178000.0,117270684800.0,,262442707.0,43395430783.0,1999.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,2.83363006706845,67.05823,,118.27606,,3848801000.0,0.05844,,6.17254,2520374000.0,3848801000.0,,,639228000.0,1999.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,,59.9278,,16.18953,,323012000.0,0.60809,,65.39376,137213000.0,323011000.0,,,147858000.0,1999.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,11.0849273482839,54.96713,,64.83172,,21822559918.1545,0.80201,,110.51516,5399184040.12427,21822559918.1545,,283350730.0,17729678279.0,1999.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,-78.2602178171845,57.55755,,38.86158,,4550160269.0,0.05523,,8.89218,2718360472.8,4585744269.0,,,3139608490.0,1999.0
PTT.BK,PTT PCL,PTT,Thailand,A-,17.1173959041031,49.69611,,,,199640699000.0,4.7892,,565.12597,14411397000.0,199640699000.0,,189011000.0,228617106000.0,1999.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,,,,,,,,,,,,,,,1999.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,2.34993486321275,27.32032,,,,80603000.0,-0.07914,,0.0,41395000.0,80603000.0,,,,1999.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,,,,,,,,,,,,,,,1999.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,,,,,,,,,,,,,,,1999.0
