Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
NVTK.MM,Novatek PAO,NVTK,Russia,A,14.0827401177854,35.42148,9.89278,9.89278,,2457664000000.0,0.04222,,9.78609,1894402000000.0,2457664000000.0,,9582000000.0,1156724000000.0,2021.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,0.945054209330449,86.28586,,,,622540000.0,,48870220.01,,-32833000.0,622540000.0,,4750000.0,321805000.0,2021.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,-2.85367995954071,1.105,,,,26808975.0,-0.70046,47298386.5365531,1.39044,20005033.0,26808975.0,,,1065110.0,2021.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,17.6161693424345,49.41325,45.23766,45.23766,35.0,101576000000.0,0.07159,36435777355.516,32.47327,45074000000.0,101576000000.0,,326000000.0,69964000000.0,2021.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,8.57693459550255,48.20527,30.839,30.83912,31.40167,404379000000.0,0.2979,168671868083.962,50.81163,171966000000.0,404379000000.0,,2238000000.0,261504000000.0,2021.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,-342.167587421786,19.07249,,,,14022314.0,,9297596.82912805,,-33809477.0,14022314.0,,205650.0,11124490.0,2021.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,34.0812870448772,38.5611,,6.48968,,2627000000.0,-0.01701,2019031687.46392,8.67859,2293000000.0,2627000000.0,,5000000.0,452000000.0,2021.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,11.1617130073506,65.18807,,19.16933,,16457000000000.0,0.44691,6357846872418.3,69.03991,5532000000000.0,16457000000000.0,,8000000000.0,8761000000000.0,2021.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,19.0619391764078,41.89914,82.20641,82.20641,55.20167,14912000000.0,0.89093,6570377950.92,138.01008,3052000000.0,14912000000.0,,,16441000000.0,2021.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,-0.59053843135213,22.80536,,7.53163,,507771000.0,0.47506,151230236.603434,60.3743,170877000.0,507771000.0,,,84804000.0,2021.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,10.493868080875,53.36971,,17.20227,,21990000000.0,0.0678,35000000000.0,31.90503,10767000000.0,21990000000.0,,,22400000000.0,2021.0
601857.SS,PetroChina Co Ltd,601857,China,A+,9.78518404171117,63.88148,27.502,27.50231,33.75,2502533000000.0,0.23195,854692275189.115,34.80084,1263815000000.0,2502533000000.0,,15251000000.0,2614349000000.0,2021.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,17.7844490189251,51.80012,28.87,28.766,29.5,244250094000000.0,0.83578,110603908716100.0,101.39608,71733024000000.0,244250094000000.0,,959562000000.0,91744080000000.0,2021.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,12.4906100246082,68.30364,-22.54,55.36122,27.85,54104000000.0,0.55528,31294176768.69,67.69739,23596000000.0,54104000000.0,,18000000.0,46357000000.0,2021.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,8.5899650507322,73.88254,,16.83908,,410996330000.0,0.22259,101097448000.0,30.36721,262816533000.0,410996330000.0,,948281000.0,295162356000.0,2021.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,-3.03377538566048,79.2937,0.0,,,180689000.0,2.52348,188555116.32,362.71186,28320000.0,180689000.0,,104000.0,0.0,2021.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,43.7437533853535,57.53557,46.41,46.40874,46.5,2162690000000.0,0.1427,7160000000000.0,39.89488,1113257000000.0,2162690000000.0,,11158000000.0,1501758000000.0,2021.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,31.7806500554356,54.70645,,30.5899,,286968000000.0,1.02523,45118008000.0,115.09124,64221000000.0,286968000000.0,,559000000.0,269371000000.0,2021.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,33.1955387779841,73.55122,,0.35752,,629477000.0,-0.11244,324616195.1,4.80399,187397000.0,629477000.0,,,638716000.0,2021.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,-1.64940564700563,70.21217,,,-2.9,332750000000.0,0.38637,174287810179.08,41.29592,157150000000.0,332750000000.0,4500000000.0,1285000000.0,178574000000.0,2020.0
TTEF.PA,TotalEnergies SE,TTE,France,A,2.40688642442881,40.70724,7.42,,42.68,266132000000.0,0.39541,114381140794.455,71.34562,103702000000.0,266132000000.0,,1626000000.0,119704000000.0,2020.0
BP.L,BP PLC,BP.,United Kingdom,A-,-2.87621025767603,42.90465,16.0,,-18.63333,267654000000.0,0.61237,70878086579.5425,95.74374,71250000000.0,267654000000.0,2195000000.0,10280000000.0,105944000000.0,2020.0
CVX.N,Chevron Corp,CVX,United States of America,A+,-0.221701030326367,66.96151,,,28.84286,239790000000.0,0.29149,162570066548.85,33.38833,131688000000.0,239790000000.0,293000000.0,1537000000.0,94471000000.0,2020.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,24.524511117064,48.94234,,23.62781,,127215000000.0,0.29339,107034720000.0,43.84642,43365000000.0,127215000000.0,,,452812000000.0,2020.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,-1.37080191912269,83.62185,,,14.35,80064000000.0,1.84014,16119236358.45,194.82582,18573000000.0,80064000000.0,404000000.0,132000000.0,17927000000.0,2020.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,2.96378553812238,69.79393,,-21.68144,,23352185000000.0,0.26941,5035119458701.0,34.85746,14237943000000.0,23352185000000.0,49120000000.0,18075000000.0,6321559000000.0,2020.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,1.52547481586034,58.45527,,,,5530001000000.0,0.36593,1788870601375.39,45.67993,2230715000000.0,5530001000000.0,8414000000.0,,4011022000000.0,2020.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,3.17074691593442,28.89845,,13.43293,,10344879.0,-0.52416,6210000.0,15.87899,6647682.0,10344879.0,,,16114240.0,2020.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,-2.91239289619756,84.72562,,,-0.05,38031000000.0,0.20604,17735294400.8,24.20394,21418000000.0,38031000000.0,740000000.0,13000000.0,22284000000.0,2020.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,-4.29640767495832,83.2183,,,-0.15,84616000000.0,0.55413,32561969451.9,60.68462,35757000000.0,84616000000.0,,186000000.0,24662000000.0,2020.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,0.3894232641458,53.43098,139.2,,191.58333,109648000000.0,0.44779,30820624760.704,84.55978,37415000000.0,109648000000.0,1029600000.0,,43987000000.0,2020.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,2.22367915319574,52.22613,15.0105,13.09634,18.75,1738896000000.0,0.13823,459613625323.526,34.57298,747294000000.0,1738896000000.0,11000000000.0,19803000000.0,2104724000000.0,2020.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,1.23607617016601,71.44396,,,,31477175149.35,4.31788,4795059881.5227,498.91313,3877363308.33,31477175149.35,,17567150.0,12324332520.0,2020.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,9.8526426312887,65.36577,,-16781.08108,,987419000000.0,1.05502,373476694608.62,126.16037,308410000000.0,987419000000.0,,5989000000.0,272069000000.0,2020.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,6.46801177568751,38.97424,-68.91429,-68.91429,31.8,49271000000.0,0.4564,10799999991.0,59.98291,10512000000.0,49271000000.0,390000000.0,178000000.0,16550000000.0,2020.0
REP.MC,Repsol SA,REP,Spain,BBB+,-1.33344772223107,42.44655,33.11,,36.4,49302000000.0,0.4603,12935097144.75,75.75344,20295000000.0,49302000000.0,128000000.0,,33282000000.0,2020.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,5.72159711244754,71.17446,,83.16276,,5991579000000.0,0.07445,3580730258016.0,15.97067,4123014000000.0,5991579000000.0,22440000000.0,6114000000.0,5639401000000.0,2020.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,6.18998573498188,53.78662,29.11425,29.09802,31.47143,5432787530000.0,0.49692,1285075520892.9,54.817,2213506500000.0,5432787530000.0,6146000000.0,76896710000.0,3604635140000.0,2020.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,-4.26528465410376,74.02192,,,,1923225000000.0,0.938,272864133054.55,106.02594,677230000000.0,1923225000000.0,47937340077.2,1231000000.0,669186000000.0,2020.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,3.19029538887695,29.88937,,16.46222,,5875687000000.0,-0.25784,1612993284852.88,1.66185,5160070000000.0,5875687000000.0,29400000000.0,,1075222000000.0,2020.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,4.27762406927785,68.56191,,15.91761,,4259174000000.0,0.28356,1502754920581.05,38.87623,2084638000000.0,4259174000000.0,8100000000.0,994000000.0,1999620000000.0,2020.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,16.3896258595484,64.57297,,29.43723,,22926000000.0,0.36353,43992110750.0,61.96019,11856000000.0,22926000000.0,,,6299000000.0,2020.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,10.115547172417,70.13628,29.6437,29.6437,,54120478466.57,1.4175,19113912767.4,156.32353,16913977284.42,54120478466.57,829000000.0,104742470.0,15133627910.0,2020.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,3.61213465284354,54.89027,56.874,,48.26,124809000000.0,0.60463,55302020604.0393,112.46017,33873000000.0,124809000000.0,1078000000.0,3483000000.0,45753000000.0,2020.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,6.74042930587171,58.38245,12.69291,12.69291,,47620820000.0,-0.23281,20590133379.7725,2.91602,33070630000.0,47620820000.0,646697600.0,132680000.0,19716980000.0,2020.0
PTT.BK,PTT PCL,PTT,Thailand,A-,3.3618810184174,57.01214,38.64856,38.64856,21.5,2544182883923.0,0.29348,1209483679810.73,61.86617,882040401831.0,2544182883923.0,329000000.0,,1615664656670.0,2020.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,10.4074498055951,23.46407,,34.46094,,181253785.37,1.4825,36695320.2,161.40526,55948875.18,181253785.37,,,1459673750.0,2020.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,5.9656869048648,35.42224,,39.36078,,2059178000000.0,0.02973,3823316515200.0,14.19703,1619964000000.0,2059178000000.0,2908000000.0,9103000000.0,711812000000.0,2020.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,-10.0139114440545,85.03259,,,,612651000.0,48.24384,74879888.725,5076.87044,4647000.0,612651000.0,,18742000.0,269711000.0,2020.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,-7.74862751478635,6.97432,,,,28042018.0,-0.73183,21300000.0,1.2089,21129407.0,28042018.0,,,1391550.0,2020.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,10.4472745406421,67.70212,18.67036,18.67036,17.5,62871000000.0,-0.06502,32189560605.1334,9.33512,44821000000.0,62871000000.0,1570000000.0,190000000.0,39197000000.0,2020.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,0.613385966693745,55.29072,30.97,,29.53333,379268000000.0,0.48054,137018726832.651,68.13173,155310000000.0,379268000000.0,522000000.0,2654000000.0,180543000000.0,2020.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,-37.2959857995591,13.07935,,,,19516967.0,,7750218.78666065,,-24050627.0,19516967.0,,215510.0,11126520.0,2020.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,2.56253813300793,39.14121,,,,2422000000.0,0.00186,1359915211.37062,7.59907,2143000000.0,2422000000.0,,1000000.0,349000000.0,2020.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,2.72569367122434,68.76873,,-12.92517,,15350000000000.0,0.50465,4612326985958.4,80.04374,4706000000000.0,15350000000000.0,73545000000.0,15000000000.0,5757000000000.0,2020.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,-0.42583392476934,47.07012,83.19,,69.375,12492000000.0,0.75902,6750831993.234,117.85366,3160000000.0,12492000000.0,4400000.0,,11568000000.0,2020.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,-1.76060845138603,22.84024,,,,458835000.0,0.47653,83531893.2,50.34985,177764000.0,458835000.0,,,75488000.0,2020.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,-8.97984755142529,63.19225,,,,18996000000.0,0.21321,27913126817.3032,25.58512,9344000000.0,18996000000.0,,,14788000000.0,2020.0
601857.SS,PetroChina Co Ltd,601857,China,A+,2.58858138548729,64.15484,40.283,40.28608,28.75,2488400000000.0,0.27106,714597364402.074,37.7835,1215421000000.0,2488400000000.0,39200000000.0,14274000000.0,1933836000000.0,2020.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,5.58728748518755,70.8811,35.65,38.46663,31.8,139417119000000.0,0.70292,92306979579050.0,83.71975,52095250000000.0,139417119000000.0,929660000000.0,689087000000.0,50026561000000.0,2020.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,-3.14765026806912,82.92035,,,3.55,32770000000.0,0.55821,9523741748.25,58.08344,16707000000.0,32770000000.0,,91000000.0,13227000000.0,2020.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,-1.87249648344712,80.24809,,,,385230187000.0,0.31519,105010897600.0,35.12135,242742629000.0,385230187000.0,,136812000.0,183822955000.0,2020.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,-2.64551239300966,45.36012,,,,154239000.0,4.38253,64443872.46,502.50899,22798000.0,154239000.0,,180000.0,0.0,2020.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,26.1120387306097,63.18156,50.45056,50.65758,50.1425,1914261000000.0,0.29173,7000000000000.0,48.68585,990848000000.0,1914261000000.0,,10123000000.0,862091000000.0,2020.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,3.84600832387438,53.83643,,,,275295000000.0,1.81956,68588784000.0,193.10042,36388000000.0,275295000000.0,,882000000.0,133196000000.0,2020.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,-8.64314177244839,85.02223,,,,649703000.0,0.21164,,24.01731,179222000.0,649703000.0,,,410485000.0,2020.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,3.96960178060327,71.6087,30.02593,30.02593,38.44286,362597000000.0,0.2211,295246581285.48,23.66265,191650000000.0,362597000000.0,5200000000.0,1269000000.0,255583000000.0,2019.0
TTEF.PA,TotalEnergies SE,TTE,France,A,8.76004205464085,42.59442,33.92259,33.92259,41.7,273294000000.0,0.2626,143502173497.298,51.04396,116778000000.0,273294000000.0,,1753000000.0,176249000000.0,2019.0
BP.L,BP PLC,BP.,United Kingdom,A-,6.92982013050526,44.93384,48.614,48.61418,38.74,295194000000.0,0.56084,127390545119.332,76.90154,98412000000.0,295194000000.0,412000000.0,964000000.0,159307000000.0,2019.0
CVX.N,Chevron Corp,CVX,United States of America,A+,0.956603213053315,65.101,29.02,48.55491,30.66667,237428000000.0,0.14616,226820077851.51,18.57542,144213000000.0,237428000000.0,274000000.0,770000000.0,140156000000.0,2019.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,31.2422679431301,45.94396,,26.08838,,134651000000.0,0.10917,85312968000.0,53.27745,40916000000.0,134651000000.0,,,424072000000.0,2019.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,4.88822015321515,78.0306,36.02,243.22034,38.56667,107190000000.0,1.03868,36813612938.7,112.72494,34232000000.0,107190000000.0,525000000.0,247000000.0,21128000000.0,2019.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,7.11054131744998,68.87146,,21.97503,,21882348000000.0,0.22974,6069888707560.0,28.13017,14104833000000.0,21882348000000.0,53220000000.0,19226000000.0,7659623000000.0,2019.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,9.49348369832008,52.33474,,17.16292,,5132287000000.0,0.20286,2409108982560.0,36.89915,2163593000000.0,5132287000000.0,8625000000.0,,5266735000000.0,2019.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,4.97152099770133,32.61401,,9.40648,,10446572.0,-0.43324,4680000.0,17.71641,7189211.0,10446572.0,,,11833450.0,2019.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,5.43326275418481,81.69104,24.8,-7.52688,25.8,42187000000.0,0.14364,25863761189.4,21.44093,24276000000.0,42187000000.0,970000000.0,47000000.0,34002000000.0,2019.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,8.22543118709221,83.93582,14.68,-14.44927,28.05,89435000000.0,0.38081,65417824454.08,42.74297,42042000000.0,89435000000.0,,256000000.0,38344000000.0,2019.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,9.59044981418708,54.71565,97.30247,97.30247,61.12,123440000000.0,0.36351,50318930079.18,62.97704,47839000000.0,123440000000.0,942000000.0,,69881000000.0,2019.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,8.26330747925951,56.67346,23.19378,19.90767,19.90333,1760286000000.0,0.2478,595236699468.077,39.73569,739965000000.0,1760286000000.0,11400000000.0,19960000000.0,2959799000000.0,2019.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,5.42471166715782,70.8648,,218.35025,,29525426153.03,4.42354,4933805087.92627,497.70849,3792967468.91,29525426153.03,,8149230.0,10902165210.0,2019.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,9.5265336061411,69.32412,34.71487,34.71487,55.25,926011000000.0,1.06261,407228183885.84,117.39136,295541000000.0,926011000000.0,2638298000.0,5465000000.0,302245000000.0,2019.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,11.9290777707214,40.81486,37.82218,37.82218,38.32,40375000000.0,0.27735,16389818168.16,45.21141,11025000000.0,40375000000.0,219000000.0,186000000.0,23461000000.0,2019.0
REP.MC,Repsol SA,REP,Spain,BBB+,4.88664654431691,39.97755,,,35.0125,57895000000.0,0.44694,21814991220.54,68.28514,24928000000.0,57895000000.0,371000000.0,,49328000000.0,2019.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,17.1828240398987,67.69755,,19.04988,,5947050000000.0,-0.00315,4410835000000.0,13.92322,3965364000000.0,5947050000000.0,35903000000.0,9348000000.0,7841246000000.0,2019.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,7.75005288184785,53.8646,39.37456,39.58448,34.7,5100176140000.0,0.51173,859233069769.8,57.82807,2054864350000.0,5100176140000.0,5034000000.0,95791840000.0,4249610750000.0,2019.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,2.23288178622826,71.84961,,,,1573289000000.0,0.93791,337103314627.6,107.37841,542549000000.0,1573289000000.0,18866583566.56,5719000000.0,678595000000.0,2019.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,8.17111178015635,30.58172,,20.11359,,5267896000000.0,-0.21743,2093648836176.72,5.63072,4449064000000.0,5267896000000.0,32000000000.0,,1570876000000.0,2019.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,14.236889032777,66.61671,,16.88465,,3825483000000.0,0.26239,1992057043325.85,36.28339,2057206000000.0,3825483000000.0,7500000000.0,1752000000.0,2485308000000.0,2019.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,11.4459192124735,44.15787,,25.40611,,28885000000.0,0.03859,25651039012.5,130.94238,11233000000.0,28885000000.0,,,6534000000.0,2019.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,10.6178640740277,75.47013,18.09474,18.10641,29.0,48741535871.33,1.33031,22488057150.7,145.17498,16015456476.82,48741535871.33,1857000000.0,109597030.0,14041598390.0,2019.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,13.6084234783369,59.25057,80.07964,80.07964,68.1,118063000000.0,0.41257,66485310783.4449,70.53621,41139000000.0,118063000000.0,757000000.0,1854000000.0,62911000000.0,2019.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,13.0206933603253,58.8369,,15.01403,,47495230000.0,-0.19308,25319916425.745,3.0777,33500860000.0,47495230000.0,518852052.91,110240000.0,25485470000.0,2019.0
PTT.BK,PTT PCL,PTT,Thailand,A-,7.60915416064403,55.59023,21.2721,21.2721,22.63333,2486964962939.0,0.24842,1256771835000.0,50.64939,878604109457.0,2486964962939.0,403000000.0,,2219738671120.0,2019.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,20.1366544891395,19.42851,,23.34209,,216567516.57,1.72658,39554695.8,189.33154,53045019.75,216567516.57,,,1950161590.0,2019.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,12.4467031224574,27.66194,,11.92824,,2012867000000.0,0.01496,3831818172000.0,9.75127,1647509000000.0,2012867000000.0,2400000000.0,8386000000.0,862803000000.0,2019.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,-6.86690458321208,83.2509,,,,602474000.0,1.90687,72628511.03,199.85812,104477000.0,602474000.0,,9150000.0,109950000.0,2019.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,-6.16525024671161,8.4312,,,,32075688.0,-0.55935,17100000.0,1.5817,24293160.0,32075688.0,,,5935030.0,2019.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,6.22699519334863,67.58807,36.49838,36.49838,,59185000000.0,0.11205,25008546701.096,17.39668,38813000000.0,59185000000.0,1628000000.0,141000000.0,42023000000.0,2019.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,8.4031246275691,58.94825,39.77,35.52286,31.2,404336000000.0,0.41373,232475351386.199,50.62611,186476000000.0,404336000000.0,223000000.0,3316000000.0,344877000000.0,2019.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,-20.8421183434447,3.39137,,,,32470931.0,16.39279,21704461.0196234,1758.13544,1175591.0,32470931.0,,647550.0,2586070.0,2019.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,7.45146055623579,37.57027,,0.0,,3202000000.0,-0.00836,1826552783.89975,17.32523,2630000000.0,3202000000.0,,0.0,164000000.0,2019.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,11.560242140207,68.51737,,19.25777,,12950000000000.0,0.5462,4766000564304.9,68.76941,4517000000000.0,12950000000000.0,63788000000.0,11000000000.0,8676000000000.0,2019.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,12.0798319327731,49.65868,58.01,62.54887,51.44,13770000000.0,0.46226,11490449702.9,72.79477,4420000000.0,13770000000.0,4000000.0,,16938000000.0,2019.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,0.986410392954705,21.37673,,,,544522000.0,0.30812,108681280.4,37.27323,212598000.0,544522000.0,,,93544000.0,2019.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,4.83126341114507,59.95263,,25.79666,,21532000000.0,0.25838,31200000000.0,31.24108,11204000000.0,21532000000.0,,,22597000000.0,2019.0
601857.SS,PetroChina Co Ltd,601857,China,A+,7.52317752284559,72.18144,35.076,35.07601,35.95,2733190000000.0,0.36048,1017731710995.78,43.70903,1230428000000.0,2733190000000.0,2940000000.0,14160000000.0,2516810000000.0,2019.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,19.2325372669436,69.19924,24.31,24.06636,31.4,135448018000000.0,0.48712,136301842897350.0,63.36846,56412330000000.0,135448018000000.0,841852000000.0,763452000000.0,70846769000000.0,2019.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,5.12422832466624,83.85182,39.76,-57.05082,48.35,35713000000.0,0.43899,16218990664.8,44.86745,19201000000.0,35713000000.0,,102000000.0,20181000000.0,2019.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,6.76076838180149,73.68474,,21.45206,,415193944000.0,0.28953,122132239600.0,35.65241,254955703000.0,415193944000.0,,436944000.0,272096500000.0,2019.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,-7.98577957134536,20.46872,,0.0,,146526000.0,1.82463,75027069.53125,222.40801,40548000.0,146526000.0,,4027000.0,0.0,2019.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,55.2943841711488,65.72498,50.40158,50.40158,49.9,1494126000000.0,-0.04575,7050000000000.0,16.78256,1035065000000.0,1494126000000.0,,9441000000.0,1236785000000.0,2019.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,16.7683440868386,54.77102,,25.07029,,280265000000.0,0.83463,161824824000.0,104.85836,62118000000.0,280265000000.0,,543000000.0,187127000000.0,2019.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,-1.10857246435432,93.69906,,,,2090052000.0,0.73721,38566424.1708,73.77503,853878000.0,2090052000.0,,,674634000.0,2019.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,7.18613464648659,71.37604,30.79,31.73521,35.78,346196000000.0,0.17506,288703310922.3,19.03812,191794000000.0,346196000000.0,4900000000.0,1466000000.0,279332000000.0,2018.0
TTEF.PA,TotalEnergies SE,TTE,France,A,9.0581252924138,44.13581,36.06775,36.06775,41.9,256762000000.0,0.18525,139744679597.303,43.64851,115640000000.0,256762000000.0,,1783000000.0,184106000000.0,2018.0
BP.L,BP PLC,BP.,United Kingdom,A-,7.97363574864702,47.93498,42.73,43.44914,38.97143,282176000000.0,0.43781,128218999633.855,64.79596,99444000000.0,282176000000.0,2319000000.0,1445000000.0,298756000000.0,2018.0
CVX.N,Chevron Corp,CVX,United States of America,A+,6.82523450562217,66.65288,27.77643,27.90279,30.9,253863000000.0,0.15493,207873143603.51,22.13991,154554000000.0,253863000000.0,293000000.0,1210000000.0,158767000000.0,2018.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,32.4426173347037,37.83551,,28.27748,,123059000000.0,-0.34313,175033248000.0,16.72891,37755000000.0,123059000000.0,,,362232000000.0,2018.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,14.2511397534755,71.68559,25.0,28.46314,28.96667,43854000000.0,0.34149,46343492074.44,48.3685,21330000000.0,43854000000.0,324000000.0,110000000.0,17771000000.0,2018.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,12.1024189990708,66.3582,,17.46587,,20810440000000.0,0.21686,3633884230150.0,28.04718,13300009000000.0,20810440000000.0,68960000000.0,13591000000.0,8224177000000.0,2018.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,13.1150386088122,49.31651,,7.74798,,4611581000000.0,0.12485,2523088368065.42,30.20708,2002760000000.0,4611581000000.0,7242000000.0,,5168668000000.0,2018.0
